ragione_sociale,email,sito_web,descrizione,nazione,stand,telefono,marchi,social,nuovo
NICOLO,,https://nicoloshop.com/,"Borse|Piccola pelletteria (portafogli,|Accessori|Cinture",GEORGIA,,,Nicolo,https://www.facebook.com/nicoloshop?mibextid=LQQJ4d https://instagram.com/nicoloshop?igshid=NTc4MTIwNjQ2YQ==,
NOTICE ME (HARKOM MARKETING LLP),,www.noticeme.in,Borse,INDIA,,,Notice Me,https://www.instagram.com/noticemeofficial?igsh=aTdraDFtb2U3OWkz,SI
PARU IMPEX PVT LTD,,www.paru.co.in,"Borse|Piccola pelletteria (portafogli,|Accessori",INDIA,T27,+918017404098,,,
PASOMAR SRL,,,Borse,ITALIA,H14,0861786606,Kyage,https://www.facebook.com/profile.php?id=61578096688288 https://www.instagram.com/kya.ge/,
PEFFE SRL,,www.peffeshop.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Ombrelli|Cinture",ITALIA,T17,,Avirex | Knirps | skyle,,
CLAUDIA PELLETTERIE SRL,,www.claudiafirenze.com,"Borse|Piccola pelletteria (portafogli,",ITALIA,I21 L22,+39055-8367368,Claudia Firenze,https://www.facebook.com/claudiafirenzebags https://www.instagram.com/claudiafirenze_/,
MC TRADE DANIŞMANLIK DIŞ TİCARET LİMİTED ŞİRKETİ,,www.dearyleather.com,,TURKEY,V13,+905375006976,,https://www.instagram.com/dearyleather?utm_source=ig_web_button_,
PHILIPP BAZLEN GMBH,,www.bazlen.com,Cinture,GERMANY,Q03,+497123922152,Fynch Hatton Belts | Mustang Belts | Tamaris Belts,"https://www.instagram.com/b.belt.fashion, https://www.instagram.com/vanzetti.fashion",
PLINIO VISONA SRL,,www.pliniovisona.com,"Borse|Piccola pelletteria (portafogli,|Cinture",ITALIA,B23 B24,+39-0444922680,Visonà Italia 1959,https://www.facebook.com/visonaofficial/ twitter.com/pliniovisona https://www.instagram.com/visonaofficial/ www.youtube.com/user/PlinioVisona,
PLUS 44 BRAND MARKETING LIMITED,,www.henneybear.com,"Borse|Piccola pelletteria (portafogli,|Accessori|Ombrelli|Cappelli|Scarpe","CHINA, PEOPLE'S REPUBLIC",S44 N14,,,https://www.facebook.com/henneybeargroup https://www.instagram.com/henneybearofficial/,
POP CORN MILANO SRL,,www.christianvilla.it,"Borse|Piccola pelletteria (portafogli,",ITALIA,A12 A14,+39-0292106303,Christian Villa,https://m.facebook.com/christianvillamadeinitaly/ https://www.instagram.com/christianvillabags/?hl=it,
BRIC'S INDUSTRIA VALIGERIA FINE SPA,,www.brics.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,Q12,+39-031994111,,www.facebook.com/bricsitalia www.instagram.com/bricsmilano/,
POURCHET PARIS,,www.pourchet-paris.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,",FRANCE,C13,+33-148149115,Pourchet Paris,https://www.facebook.com/Pourchetparis/ https://www.instagram.com/pourchetparis/,
PRATESI 1948 S.R.L.,,www.pratesi.info,Borse|Cinture|Cappelli,ITALIA,I19 N24,055860086,Pratesi,www.facebook.com/Pratesi.info https://www.instagram.com/pratesi_1948/,
EUREKA SP. Z O.O.,,www.pularys.com,"Piccola pelletteria (portafogli,|Accessori",POLAND,Q23,+48798720701,,https://www.facebook.com/pularys https://www.instagram.com/pularys_com/,
LEPL ENTERPRISE GEORGIA,,https://www.instagram.com/qaragma_handmade/,"Borse|Piccola pelletteria (portafogli,|Accessori",GEORGIA,M10,995555000482,Qaragma,https://www.facebook.com/profile.php?id=100083232553746&mibextid=,
"QUANZHOU TWINKLING STAR HANDBAG CO.,LTD",,www.tkstar.com.cn,Borse,"CHINA, PEOPLE'S REPUBLIC",Q16,8615959595280,,,
RAINBOW PROJECTS SRL,,www.rainbow-projects.com,Borse|Ombrelli,ITALIA,R23 S24,+39-026691880,Rainbow | Voyage,https://www.facebook.com/rainbowprojectsmilano https://www.instagram.com/rainbow_1949/,
RAJ AND RAK INCORPORATED,,www.rajnrak.com,"Borse|Piccola pelletteria (portafogli,|Accessori",INDIA,,,,,SI
ANGIVENEZIA SRL,,,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Maglieria",ITALIA,G23 G24,+39-3284413979,Renato Angi,www.facebook.com/renatoangi https://www.instagram.com/renatoangi/ www.youtube.com/user/renatoangitv,
RIPANI ITALIANA PELLETTERIE SRL S.B,,www.ripani.com,"Borse|Piccola pelletteria (portafogli,",ITALIA,E21 F22,+39-0861788128,Ripani,https://www.facebook.com/RipaniBags https://www.instagram.com/ripanibags_official/,
RIVIERA CASHMERE SRL UNIPERSONALE,,www.rivieracashmere.it,Accessori|Guanti|Maglieria|Cappelli|Sciarpe,ITALIA,L18,+39-0108689135,Riviera Cashmere,www.facebook.com/rivieracashmere https://www.instagram.com/rivieracashmere/?hl=it www.youtube.com/channel/UCutQrxKua98eqtqDF7jaFAw,
ROBERTA GANDOLFI SRL,,www.robertagandolfi.com,Borse|Accessori,ITALIA,C14,+39-051703410,Roberta Gandolfi,www.facebook.com/robertagandolfibags www.twitter.com/RGhandbags www.instagram.com/robertagandolfibags www.linkedin.com/company/roberta-gandolfi,
ROBERTO MANTELLASSI SRL,,www.robertomantellassi.com,"Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori",ITALIA,T16,+390571-587369,RM - RobertoMantellassi,www.facebook.com/robertomantellassi.italia https://www.instagram.com/robertomantellassi/,
ROHAN GLOVES (MFG) PVT LTD,,www.luxorastyl.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Scarpe",INDIA,,,,https://www.instagram.com/luxora.styl_?igsh=OXpzeXJ2azBmbTkw,SI
SAN MARCO S.A.S. DI SIRENA GIOVANNI & C.,,www.xxisecolosirena.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,D19,,Elena Cardinali Adjustable | Unica by Sirena | XXI Secolo,https://www.instagram.com/xxisecolosirena/,
SAPPHIRE SRL .,,,"Borse|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,U06,,S.Pierpaoli,,
SARA BURGLAR SRL,,www.saraburglar.com,"Borse|Piccola pelletteria (portafogli,|Cinture",ITALIA,G07 G08,0733801491,Sara Burglar,www.facebook.com/SaraBurglarbags www.instagram.com/saraburglarbags,
SEOUL LEATHERCOOP,,www.temps.kr,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,",,Z08,+8210-5756-2886,TEMP'S,,
SHILPA OVERSEAS PVT. LTD.,,,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori",INDIA,,,,https://www.instagram.com/sopl_official/ https://www.facebook.com/sopl.official,
LEPL ENTERPRISE GEORGIA,,https://m.facebook.com/ShopRefinedBags/,"Borse|Piccola pelletteria (portafogli,|Accessori",GEORGIA,H12,995555000482,Shop Refined Bags,https://www.facebook.com/profile.php?id=100083232553746&mibextid=,
SOFIA GANTS SRL,,www.sofiag.it,"Piccola pelletteria (portafogli,|Guanti",ITALIA,,+39-0817011419,,https://www.facebook.com/sofiagantssrl https://www.instagram.com/sofiagants/,SI
NUZZOLESE ANNIBALE,,www.sohobags.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Cinture",ITALIA,E20,+39-0815534536,Sohobags,https://www.facebook.com/sohobags/ https://www.instagram.com/sohobags/,
S.P. SRL,,www.spaccessori.com,Accessori|Guanti|Cappelli|Sciarpe,ITALIA,G05 H06,,PETRACCI,https://www.facebook.com/spaccessori https://www.instagram.com/spaccessori/,
SPIKES & SPARROW,,https://spikesandsparrow.com/,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,",NETHERLANDS,L20,+31628496582,Spikes & Sparrow,https://www.facebook.com/SpikesSparrow/ https://www.instagram.com/spikesandsparrow/,
SUPREMA SRL,,www.supremalab.com,Accessori,ITALIA,H07 H08,+39-041415810,,https://www.facebook.com/supremalab/ https://www.instagram.com/suprema_official/,
TECHMADE SRL,,https://etres.it/,"Piccola pelletteria (portafogli, Small leathergoods (walltes, key",ITALIA,,0823609112,,https://www.instagram.com/etres_brand/,SI
TRAVELITE GMBH & CO KG,,www.travelite.de,Borse|Articoli da Viaggio,GERMANY,O05 Q06,,Titan,https://www.facebook.com/travelite.koffer/ https://www.instagram.com/travelite.global/,
TRAVELITE GMBH & CO KG,,www.travelite.de,Borse|Articoli da Viaggio,GERMANY,O05 Q06,,Impackt | Travelite,https://www.facebook.com/travelite.koffer/ https://www.instagram.com/travelite.global/,
UNICORN EUROPE SRL,,,Borse|Articoli da Viaggio|Accessori,ITALIA,P24,0514847151,Diesel,,
PELLETTERIA VALENTINO ORLANDI,,www.valentinoorlandi.it,"Borse|Piccola pelletteria (portafogli,|Cinture|Scarpe",ITALIA,C21 C22,+39-0733283090,Valentino Orlandi,https://it-it.facebook.com/ValentinoOrlandi/ https://www.instagram.com/valentino.orlandi/?hl=it,
VELVET ATELIER S.L.,,http://www.velvetatelier.com/,Borse,SPAIN,,,,https://www.instagram.com/velvetatelier_va?igsh=NngxdGJyMXE4YmRl,SI
WEBM ITALIA S.R.L.,,,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,O20,0245475211,,,
VIVE LA DIFFERENCE SRL,,www.viveladifferencemadeinitaly.it,"Borse|Piccola pelletteria (portafogli,",ITALIA,,+39-036348924,,https://www.facebook.com/Vive-la-Difference-Made-in-Italy- 494834517236803/ https://www.instagram.com/vive_la_difference_official/?hl=it,SI
WINGS SP Z O.O,,,Borse|Articoli da Viaggio|Accessori,POLAND,O20,,Wings,https://www.facebook.com/WingsWalizki https://www.instagram.com/wings_poland/,
C.A.V. SRL UNIPERSONALE,,www.y-dry.com,"Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Ombrelli",ITALIA,F16,+39-051372180,Y-DRY,https://www.facebook.com/ydryofficial/ https://instagram.com/ydry_official?utm_medium=copy_link,
ZERO DI DANIELE TORRINI,,https://www.zerocappellifirenze.com/,Cappelli,ITALIA,L20,,,https://www.instagram.com/zero_cappellifirenze_/,
